Id;Comment;Label
1;16 Februari hari kematian mantan mu Dann hari ulang tahun mu BG kauu haruss selalu mengingat ituu;Negative
2;Tidak layak menjadi bintang dunia;Negative
3;Sok paling ganteng ternyata redflag🤮🤮🤮🤮🤮🤮🤮;Negative
4;Payah lo bang? Cuma di film lagaknya gentle. Didunia nyata? Jauh dari kata gentle. 🤮;Negative
5;Merasa sipaling oke bgt, muka pdhl udah peyot juga gamikir udah lansia;Negative
6;Pake dalemannya bang ketinggalan noh dirumah mantan;Negative
7;shiballl;Negative
8;Masa pacaran sama bocah bang;Negative
9;Jangan BANGGA dulu, baru juga menang 1 KALI, kita lihat kedepan dulu;Negative
10;Lu jangan nyoba hero di ranked lah.;Negative
11;halah, kok gue curiga sengaja d bikin menang . krn klo kalah, dia d tuntut d pecat;Negative
12;Yaiyalah federasi backing, mereka kan harus mempertahankan gengsi sama keputusan yg mereka buat. Strateginya salah tetep bakal dicebok kok biar ga malu;Negative
13;Jangan eksperimen2 di laga penting lagi pak petrik.;Negative
14;suami kerja di Sampoerna kayu, Alhamdulillah gajian telat Bae..... saking telat nya 1 bulan terlewatkan gitu aja tanpa di bayar;Negative
15;dengan benefit seperti itu, jangan harap work life balance gaes.;Negative
16;oylah laki gue di Sampoerna kerjanya bukan 24jam lg wkwk, sampe erorrr itu jam x😭;Negative
17;tau kan artinya benefit gede😌 bisa bisa seluruh hidup mu cuma tentang perusahaan😂😂😂;Negative
18;Hahaha jam kerja fleksibel itu tengah malem lu juga harus stand by ya guys🥰;Negative
19;benefitnya gede, gajinya gede, tekanannya jauh lebih gedeeee;Negative
20;Cewek sekarang banyak bener tuntutannya, kalo ditanya dianya bisa apa, bisa dandan doang😅;Negative
21;Ya jangan samain cewek indo sama luar negri lah jelas beda sdm;Negative
22;Masalahnya cowo sini tu ga bs kerja domestik;Negative
23;Jangan kelamaan dibiayain bini.. lama2 bisa jengkel jg lhooo suatu saat;Negative
24;Mending lu diem deh bang,udah hilang respect sama lu jdi yah omongan lu ga lebih dari kata kata kosong;Negative
25;Ngak berlaku laki2 yg gaji UMR Konoha, ini fakta lohhh;Negative
26;FOTO LAMA ? GA ADA DUIT LAGI KAH BUAT PURA PURA TERLIHAT KAYA;Negative
27;Semakin yakin untuk korupsi;Negative
28;sesuai sih muka sama kelakuan. ☺;Negative
29;eh bang? yang ganteng aja gak gitu loh 🙏;Negative
30;Beli 1 ice cream kek beli saham 😩;Negative
31;Pentingnya nafkah pake duit halal si bang intinya, klo ga mau punya anak model gini;Negative
32;Ketika Supir ALS pacaran ama LC;Negative
33;Bro ber pikir bro keren;Negative
34;anak mami;Negative
35;Gimana kalo si pacarnya yg digituin sama orang.. hmmm😌;Negative
36;Kayak besi dalaman kabel😢😢;Negative
37;Bungkus rokok dalemannya bukannya sama ya. Yang kuning emas gitu😁😅 maaf ya bu jullid😂;Negative
38;"Pengen nyobek!!
";Negative
39;"Warna paku berkarat kerendem air
";Negative
40;Aura bungkus roko sangat kuat;Negative
41;Saingan manusia silver😂;Negative
42;Astaghfirullah seriusan dri jauh ak kira lgi cosplay costum fir'aun😭;Negative
43;Sakit perut seperti itu jangan di diemin ya guys bisa terjadi luka di lambung karna makan pedas, kalau ada mual jangan di kasih susu, tapi minum obat lambung seperti polisilen cair dsb;Negative
44;Cmn karna makanan 10rebu relaa nyakitin diri sendiri?? 👏👏;Negative
45;Aduh aa, jgn nyiksa diri;Negative
46;Ngawur bgt sumpa;Negative
47;cina pelit;Negative
48;ci piring nya ga dijilat juga;Negative
49;pisang enga sak kulit e di mkan biarlebih kenyang✌️🙄.;Negative
50;anjir segitunya;Negative
51;PDHL DIA SENDIRI YG BILANG DIRINYA OLD MONEY😭;Negative
52;old money? money laundry kali;Negative
53;"""RUMAH disamping pembuangan sampah"" Oh Pantes udah jelas...dr makanya";Negative
54;Jadinya muka old money apa muka dikira pembantu sih😭;Negative
55;mana ada malah kek ga keurus gtu🤣;Negative
56;jd dibilang muka old money apa mirip babysitter 😭;Negative
57;klo makan kayak takut ngk kebagian 😁😁😁;Negative
58;Pret lah;Negative
59;YANG JADI TEMEN NYA KO BETAHHHHHH;Negative
60;lewat fyp mulu anj;Negative
61;"DIA ASIK SENDIRI WELLLL😭""";Negative
62;Dua duanya Preman :);Negative
63;kok bisa umur 22 rambutnya pada hilang 🗿;Negative
64;ancritttt tiket jogja udah abis anjir;Negative
65;pembohong publik;Negative
66;wkwkwk sifat aslinya skrg keluar 🤪 makanya kalo gakuat jd influencer gaush maksa. skrg di komen dikit lgsg mau bales semua komentar 😆😆 kocakk;Negative
67;Lah Islam kah? Di akun sebalah katanya makan B2 bener tah??;Negative
68;tapi konten²nya flexing;Negative
69;jadi ngopi atau minum macha di pinggir danau, padahal sungai;Negative
70;pick me pick me;Negative
71;ga peduli kak;Negative
72;kurang ka segitu mah harusnya cabe 1ton;Negative
73;anj anak skrg waktu sekolah SD gak belajar Matematika kah?? kenapa rata² nyalahin yg 6+3x4 = 18.. malah jawabannya 36... kacau kacau kacau....;Negative
74;Emang ya orang indo matematika dasar begini udah wajib bisa sihh harusnya, bukan malah bangga cuma karna matematika dasar bisa trus dibilang pinter 😭🙏;Negative
75;LU KONT*L PAK SUMPAH;Negative
76;GA PERNAH SEMUAK INI SAMA NENEK;Negative
77;playing victim;Negative
78;gak nyangka kalo mami bakal kayak gini;Negative
79;betulss. gakk Suka lagi nenek2..;Negative
80;air mata buaya tuh mami louissee;Negative
81;sisi gelap nya kegelapan mami 😀;Negative
82;minta maaf doang nihh??😹;Negative
83;mami kagak kali gw bukan anak lu!???? 💢💢💢;Negative
84;hati² yang jadi temennya😂😂;Negative
85;mami kamu tuh coba kalau chat itu nnya salting buat apa ya jawab emoticon ketawa bukan berarti salting .hmm;Negative
86;"racik lagi coach untuk lini tengah biar enak diliat mainnya ga crossing"" ke depan mulu";Neutral
87;eh ini aslii??😭;Neutral
88;Ini beneran gasi?😭 (Serius tanya dg nada lemah lembut);Neutral
89;gaada orang sempurna;Neutral
90;ooh itu namanya tics disorder ya, aku soalnya ada gt jg tp syukurnya g parah sih;Neutral
91;ternyata setiap manusia bener-bener ada kurang lebihnya sendiri ya..;Neutral
92;maaf mau tanya kalau kayak gini bisa bawa kendaraan ga ya? karena kan itu kita gabisa tau kapan bereaksi nya🙏🏻;Neutral
93;kak, mohon maaf mau tanya, ini sama kayak tourrete syndrome ya? 🥹;Neutral
94;reyal or fake🤪;Neutral
95;Bca berlaku cmn kartap kalo bakti mah gasebanyak itu😭;Neutral
96;kerjanya ngapain ajasiii?;Neutral
97;owalah pantes im3 mahal yh, selangit harganya naik pulak tiap beberapa periode 😄😄😄😄😄;Neutral
98;indosat jam flexibel? hahaha masa?;Neutral
99;pas kuliah aku baru notice, perusahaan tuh kalau mau maju harus mensejahterakan SDM nya, ya intinya gtu panjang kalau dijlsin😅;Neutral
100;gaji besar = pressure besar. dimana2 gitu. itu wajar, hehe..😀😀;Neutral
101;gimana sih beli saham ?;Neutral
102;ok dmn info lokernya;Neutral
103;Di Jepang gausah perusahaan2 tertentu bahkan kerja jd cleaning service hotel jg dapet bonus 😂;Neutral
104;Setujuhhh banget;Neutral
105;Aku juga kalo holiday aku yg bayarin suami ku 100% ini sejak aku nikah sama suami ju dan tinggal di London;Neutral
